174,0,0,1,F#
255,0,0,2,G
255,10,0,3,A
255,239,0,4,Bb
153,255,0,5,B
40,255,0,6,C
0,255,242,7,C#
0,122,255,8,D
5,0,255,9,D#
71,0,237,10,E
99,0,178,11,F
